Country,Region,Population,Area_sq_miles,pop_density,coast_area_ratio
Singapore ,ASIA (EX. NEAR EAST)         ,4492150,693,6482.2,27.85
Slovakia ,EASTERN EUROPE                     ,5439448,48845,111.4,0.00
Slovenia ,EASTERN EUROPE                     ,2010347,20273,99.2,0.23
Solomon Islands ,OCEANIA                            ,552438,28450,19.4,18.67
Somalia ,SUB-SAHARAN AFRICA                 ,8863338,637657,13.9,0.47
South Africa ,SUB-SAHARAN AFRICA                 ,44187637,1219912,36.2,0.23
Spain ,WESTERN EUROPE                     ,40397842,504782,80.0,0.98
Sri Lanka ,ASIA (EX. NEAR EAST)         ,20222240,65610,308.2,2.04
Sudan ,SUB-SAHARAN AFRICA                 ,41236378,2505810,16.5,0.03
Suriname ,LATIN AMER. & CARIB    ,439117,163270,2.7,0.24
Swaziland ,SUB-SAHARAN AFRICA                 ,1136334,17363,65.5,0.00
Sweden ,WESTERN EUROPE                     ,9016596,449964,20.0,0.72
Switzerland ,WESTERN EUROPE                     ,7523934,41290,182.2,0.00
Syria ,NEAR EAST                          ,18881361,185180,102.0,0.10
Taiwan ,ASIA (EX. NEAR EAST)         ,23036087,35980,640.3,4.35
Tajikistan ,C.W. OF IND. STATES ,7320815,143100,51.2,0.00
Tanzania ,SUB-SAHARAN AFRICA                 ,37445392,945087,39.6,0.15
Thailand ,ASIA (EX. NEAR EAST)         ,64631595,514000,125.7,0.63
Togo ,SUB-SAHARAN AFRICA                 ,5548702,56785,97.7,0.10
Tonga ,OCEANIA                            ,114689,748,153.3,56.02
Trinidad & Tobago ,LATIN AMER. & CARIB    ,1065842,5128,207.9,7.06
Tunisia ,NORTHERN AFRICA                    ,10175014,163610,62.2,0.70
Turkey ,NEAR EAST                          ,70413958,780580,90.2,0.92
Turkmenistan ,C.W. OF IND. STATES ,5042920,488100,10.3,0.00
Turks & Caicos Is ,LATIN AMER. & CARIB    ,21152,430,49.2,90.47
Tuvalu ,OCEANIA                            ,11810,26,454.2,92.31
Uganda ,SUB-SAHARAN AFRICA                 ,28195754,236040,119.5,0.00
Ukraine ,C.W. OF IND. STATES ,46710816,603700,77.4,0.46
United Arab Emirates ,NEAR EAST                          ,2602713,82880,31.4,1.59
United Kingdom ,WESTERN EUROPE                     ,60609153,244820,247.6,5.08
United States ,NORTHERN AMERICA                   ,298444215,9631420,31.0,0.21
Uruguay ,LATIN AMER. & CARIB    ,3431932,176220,19.5,0.37
Uzbekistan ,C.W. OF IND. STATES ,27307134,447400,61.0,0.00
Vanuatu ,OCEANIA                            ,208869,12200,17.1,20.72
Venezuela ,LATIN AMER. & CARIB    ,25730435,912050,28.2,0.31
Vietnam ,ASIA (EX. NEAR EAST)         ,84402966,329560,256.1,1.05
Virgin Islands ,LATIN AMER. & CARIB    ,108605,1910,56.9,9.84
Wallis and Futuna ,OCEANIA                            ,16025,274,58.5,47.08
West Bank ,NEAR EAST                          ,2460492,5860,419.9,0.00
Western Sahara ,NORTHERN AFRICA                    ,273008,266000,1.0,0.42
Yemen ,NEAR EAST                          ,21456188,527970,40.6,0.36
Zambia ,SUB-SAHARAN AFRICA                 ,11502010,752614,15.3,0.00
Zimbabwe ,SUB-SAHARAN AFRICA                 ,12236805,390580,31.3,0.00
